tweet-sno-0	Q0	vclaim-sno-hero-wombats-australia-fires	1	4.16548378	rank_svm
tweet-sno-0	Q0	vclaim-sno-forestry-service-advice-for-animals-in-wildfires	2	2.10027263	rank_svm
tweet-sno-0	Q0	vclaim-sno-koala-australian-bushfires	3	1.41929258	rank_svm
tweet-sno-0	Q0	vclaim-sno-did-sprinklers-save-house-from-massive-wildfire	4	1.25453853	rank_svm
tweet-sno-0	Q0	vclaim-sno-floating-islands-of-fire-ants	5	1.23571256	rank_svm
tweet-sno-0	Q0	vclaim-sno-fawn-bobcat-fire	6	1.2257503	rank_svm
tweet-sno-0	Q0	vclaim-sno-bees-gmo-cornfield	7	1.17504066	rank_svm
tweet-sno-0	Q0	vclaim-sno-frozen-frogs	8	0.98280757	rank_svm
tweet-sno-0	Q0	vclaim-sno-snakes-pool-noodles	9	0.74953067	rank_svm
tweet-sno-0	Q0	vclaim-sno-rainbow-butterfly	10	0.30371152	rank_svm
tweet-sno-0	Q0	vclaim-sno-zoo-animals-escape-floyd-protests	11	0.239857	rank_svm
tweet-sno-0	Q0	vclaim-sno-bumblebees-cant-fly	12	0.22037435	rank_svm
tweet-sno-0	Q0	vclaim-sno-rain-wildfire-toxic	13	0.20417984	rank_svm
tweet-sno-0	Q0	vclaim-sno-cthulhu-rising	14	0.18000455	rank_svm
tweet-sno-0	Q0	vclaim-sno-daisy-dog-rescued-911-survivors	15	0.17166728	rank_svm
tweet-sno-0	Q0	vclaim-sno-striped-mittenfish	16	0.16460636	rank_svm
tweet-sno-0	Q0	vclaim-sno-whale-of-a-tale	17	0.15795669	rank_svm
tweet-sno-0	Q0	vclaim-sno-endangered-starry-butterfly-pix	18	0.14358645	rank_svm
tweet-sno-0	Q0	vclaim-sno-kitten-dies-due-home-depot-christmas-tree	19	0.14001524	rank_svm
tweet-sno-0	Q0	vclaim-sno-pigs-after-hurricane	20	0.13296411	rank_svm
tweet-sno-1	Q0	vclaim-sno-ilhan-omar-treason-advice-iran	1	5.44958979	rank_svm
